AIRCRAFT,DATE,REGION/OPERATING GROUP,CITY OF PURCHASE,FUEL CO.,METHOD OF PAYMENT,TOTAL LITRES,PRICE/LITRE INCLUDING PROVINCIAL & FEDERAL FUEL TAXES (CAD $),EXTENDED COST (CAD $)
GXS,10/7/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,704,1.094957386,770.85
GXS,10/8/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,615,1.077447154,662.63
GXL,10/8/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,440,1.077454545,474.08
GXS,10/8/2019,"MOUNT HOPE, ON",THUNDER BAY,SHELL,NSO,691.1,0.955086095,660.06
GXL,10/9/2019,"MOUNT HOPE, ON",SAULT STE. MARIE,AVJET,NSO,584,1.098681507,641.63
GXS,10/9/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,850.4,1.077469426,916.28
GXL,10/9/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,440.2,1.077442072,474.29
GXL,10/11/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,148.8,1.077486559,160.33
GXS,10/11/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,680.9,1.077456308,733.64
GXL,10/11/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,587,1.077444634,632.46
GXS,10/15/2019,"MOUNT HOPE, ON",SAULT STE. MARIE,AVJET,NSO,667.9,1.116798922,745.91
GXS,10/15/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,446.7,1.095634654,489.42
GXL,10/15/2019,"MOUNT HOPE, ON",TIMMINS,WORLD FUELS,NSO,430,1.402348837,603.01
GXL,10/16/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,730,1.095630137,799.81
GXL,10/18/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,815.6,1.095610593,893.58
GXS,10/24/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,205.3,1.092352655,224.26
GXS,10/25/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,147.8,1.092354533,161.45
GXS,10/28/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,565.6,1.092309052,617.81
GXL,10/28/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,500,1.09232,546.16
GXL,10/29/2019,"MOUNT HOPE, ON",HAMILTON,WORLD FUELS,NSO,215.6,1.094805195,236.04
CIR,10/1/2019,"PARRY SOUND, ON","PINE DOCK, MB",INTERLAKE,CREDIT CARD,314,2.1,659.4
CIR,10/2/2019,"PARRY SOUND, ON","PINE DOCK, MB",INTERLAKE,CREDIT CARD,319,2.1,669.9
CIQ,10/2/2019,"PARRY SOUND, ON",GORE BAY,GORE BAY A/P,CREDIT CARD,380,1.79,680.2
CIR,10/3/2019,"PARRY SOUND, ON","PINE DOCK, MB",INTERLAKE,CREDIT CARD,500,2.1,1050
CIR,10/4/2019,"PARRY SOUND, ON",KENORA,SHELL,CREDIT CARD,609.1,2.071597439,1261.81
CIR,10/4/2019,"PARRY SOUND, ON",THUNDER BAY,SHELL,NSO,785,0.972611465,763.5
CIR,10/4/2019,"PARRY SOUND, ON",SAULT STE. MARIE,AVJET,NSO,735.3,1.116183871,820.73
CIQ,10/4/2019,"PARRY SOUND, ON",GORE BAY,GORE BAY A/P,CREDIT CARD,353,1.79,631.87
CIQ,10/4/2019,"PARRY SOUND, ON",GORE BAY,GORE BAY A/P,CREDIT CARD,290,1.79,519.1
CIQ,10/7/2019,"PARRY SOUND, ON",BROCKVILLE,BROCKVILLE A/P,CREDIT CARD,599,1.770834725,1060.73
CIQ,10/8/2019,"PARRY SOUND, ON",GORE BAY,GORE BAY A/P,CREDIT CARD,250,1.79,447.5
CIQ,10/8/2019,"PARRY SOUND, ON",GORE BAY,GORE BAY A/P,CREDIT CARD,270,1.79,483.3
CIQ,10/9/2019,"PARRY SOUND, ON",GORE BAY,GORE BAY A/P,CREDIT CARD,440,1.79,787.6
CIQ,10/10/2019,"PARRY SOUND, ON",OWEN SOUND,WIARTON A/P,CREDIT CARD,358.53,1.4502831,519.97
CIR,10/29/2019,"PARRY SOUND, ON",PEMBROKE,PEMBROKE A/P,CREDIT CARD,686,1.82,1248.52
CIR,10/30/2019,"PARRY SOUND, ON",PEMBROKE,PEMBROKE A/P,CREDIT CARD,1112,1.82,2023.84
JCZ,10/2/2019,"MONCTON, NB (AV)",MONCTON,SHELL,STANDING OFFER,850,0.7733,756.42
JCZ,10/2/2019,"MONCTON, NB (AV)",GANDER,WOODWARD,STANDING OFFER,457,0.7315,496
JCZ,10/2/2019,"MONCTON, NB (AV)",ST. JOHN'S,WOODWARD,STANDING OFFER,861,0.7276,768.53
JCZ,10/3/2019,"MONCTON, NB (AV)",MONCTON,SHELL,STANDING OFFER,1300,0.7733,1156.87
JCZ,10/3/2019,"MONCTON, NB (AV)",ST. JOHN'S,WOODWARD,STANDING OFFER,1020.2,0.7276,910.64
JCZ,10/7/2019,"MONCTON, NB (AV)",MONCTON,SHELL,STANDING OFFER,1313,0.7733,1168.44
JCZ,10/8/2019,"MONCTON, NB (AV)",MONCTON,SHELL,STANDING OFFER,1140.2,0.7558,994.71
JCZ,10/21/2019,"MONCTON, NB (AV)",MONCTON,SHELL,STANDING OFFER,1030,0.7739,917.22
JCZ,10/21/2019,"MONCTON, NB (AV)",GANDER,WOODWARD,STANDING OFFER,1198,0.7289,1083.09
JCZ,10/23/2019,"MONCTON, NB (AV)",MONCTON,SHELL,STANDING OFFER,910,0.7706,807.36
JCZ,10/24/2019,"MONCTON, NB (AV)",MONCTON,SHELL,STANDING OFFER,1360.6,0.7706,1207.13
JCZ,10/25/2019,"MONCTON, NB (AV)",OTTAWA,SHELL,STANDING OFFER,1054.8,0.7911,1001.74
JCZ,10/25/2019,"MONCTON, NB (AV)",MONCTON,SHELL,STANDING OFFER,1535,0.7706,1361.86
JCZ,10/24/2019,"MONCTON, NB (AV)",WABUSH,HARNOIS,STANDING OFFER,900,1.113,1106.64
JCZ,10/29/2019,"MONCTON, NB (AV)",GOOSE BAY,WOODWARD,STANDING OFFER,1700,0.8466,1749.72
JCZ,10/29/2019,"MONCTON, NB (AV)",MONCTON,SHELL,STANDING OFFER,1200,0.7732,1067.76
